"Month","Day","Year","Latitude","Longitude","count","Average","Percent Change"
7,24,2014,40.76,-73.98,2007,1228.10928961749,63.4219378492863
7,24,2014,40.76,-73.97,1742,1176.44808743169,48.0728319940545
7,24,2014,40.74,-73.99,1534,1041.87978142077,47.2338773968867
7,24,2014,40.75,-73.99,1307,940.918032786885,38.906892466374
7,24,2014,40.75,-73.98,1288,873.092896174863,47.5215301421991
7,24,2014,40.72,-74,1164,904.103825136612,28.7462753322736
7,24,2014,40.73,-74,1151,885.027322404372,30.0524820943443
7,24,2014,40.73,-73.99,960,790.338797814208,21.4668952928812
7,24,2014,40.74,-74,942,735.327868852459,28.1061197190949
7,24,2014,40.76,-73.99,875,657.338797814208,33.1124836856675
7,24,2014,40.72,-74.01,816,584.967213114754,39.4949976179133
7,24,2014,40.71,-74.01,811,566.136612021858,43.2516432921827
7,24,2014,40.72,-73.99,679,604.31693989071,12.3582602405281
7,24,2014,40.75,-73.97,668,383.010928961749,74.4075558916266
7,24,2014,40.74,-74.01,643,549.060109289617,17.1092179382551
7,24,2014,40.77,-73.96,575,476.775956284153,20.6017191977077
7,24,2014,40.74,-73.98,570,454.901639344262,25.3018126779343
7,24,2014,40.73,-74.01,565,401.054644808743,40.8785579006172
7,24,2014,40.77,-73.98,548,447.382513661202,22.4902590660918
7,24,2014,40.75,-74,540,370.224043715847,45.8576257177016
7,24,2014,40.77,-73.87,518,332.092896174863,55.9804518453919
7,24,2014,40.73,-73.98,508,396.792349726776,28.0266618924986
7,24,2014,40.78,-73.98,406,333.420765027322,21.7680608365019
7,24,2014,40.78,-73.96,352,305.972677595628,15.0429517975461
7,24,2014,40.77,-73.95,352,253.72131147541,38.7348969438522
7,24,2014,40.78,-73.95,337,294.377049180328,14.4790332460879
7,24,2014,40.76,-74,336,283.945355191257,18.3326276894654
7,24,2014,40.77,-73.99,332,247.786885245902,33.9861065167053
7,24,2014,40.75,-74.01,311,194.628415300546,59.7916725159334
7,24,2014,40.72,-73.96,269,245.950819672131,9.37145904152502
7,24,2014,40.77,-73.86,259,136.617486338798,89.5804167833287
7,24,2014,40.64,-73.78,256,190.448087431694,34.4198324342936
7,24,2014,40.76,-73.96,249,224.448087431694,10.938793397283
7,24,2014,40.72,-73.98,229,207.251366120219,10.4938434360746
