"Month","Day","Year","Latitude","Longitude","count","Average","Percent Change"
8,30,2014,40.73,-73.99,750,790.338797814208,-5.10398805243653
8,30,2014,40.73,-74,732,885.027322404372,-17.2906890590269
8,30,2014,40.75,-73.99,687,940.918032786885,-26.9862011289985
8,30,2014,40.74,-73.99,682,1041.87978142077,-34.5413921873033
8,30,2014,40.72,-73.99,680,604.31693989071,12.5237363233565
8,30,2014,40.72,-74,677,904.103825136612,-25.1192195876725
8,30,2014,40.76,-73.99,627,657.338797814208,-4.61539740467026
8,30,2014,40.76,-73.98,618,1228.10928961749,-49.6787455949881
8,30,2014,40.76,-73.97,580,1176.44808743169,-50.6990570857913
8,30,2014,40.74,-74,553,735.327868852459,-24.7954520120388
8,30,2014,40.71,-74.01,501,566.136612021858,-11.5054583361486
8,30,2014,40.75,-73.98,487,873.092896174863,-44.2212847987182
8,30,2014,40.73,-73.98,474,396.792349726776,19.4579483012684
8,30,2014,40.74,-74.01,453,549.060109289617,-17.4953721212604
8,30,2014,40.74,-73.98,421,454.901639344262,-7.45252081156078
8,30,2014,40.72,-73.96,401,245.950819672131,63.0407251882957
8,30,2014,40.72,-74.01,367,584.967213114754,-37.2614410223356
8,30,2014,40.77,-73.98,358,447.382513661202,-19.9789913400349
8,30,2014,40.75,-74,316,370.224043715847,-14.6462782837154
8,30,2014,40.76,-74,294,283.945355191257,3.5410492282822
8,30,2014,40.78,-73.98,281,333.420765027322,-15.7221056771994
8,30,2014,40.75,-73.97,266,383.010928961749,-30.550284629981
8,30,2014,40.78,-73.95,263,294.377049180328,-10.658796012697
8,30,2014,40.77,-73.96,262,476.775956284153,-45.047564469914
8,30,2014,40.72,-73.98,254,207.251366120219,22.5564900994015
8,30,2014,40.71,-73.96,248,143.704918032787,72.5758612822268
8,30,2014,40.77,-73.99,225,247.786885245902,-9.19616275223288
8,30,2014,40.73,-74.01,223,401.054644808743,-44.3966045808183
8,30,2014,40.77,-73.87,211,332.092896174863,-36.4635611208925
8,30,2014,40.72,-73.95,210,116.387978142077,80.4310061505235
8,30,2014,40.76,-73.96,192,224.448087431694,-14.4568340069143
8,30,2014,40.71,-73.95,191,110.644808743169,72.6244567364678
8,30,2014,40.77,-73.95,188,253.72131147541,-25.9029527686244
